id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
25,M,1.6125,1.25,0.4375,39.7743485,17.0097,8.83086925,9.7805775,11
26,F,1.425,1.075,0.3875,23.473386,11.623295,5.896696,4.26659975,10
27,I,1.2,0.9375,0.3125,15.762322,6.76135575,2.36718325,4.77689075,8
28,F,1.325,1.075,0.4125,20.3265915,8.1930055,4.94698775,5.5281525,9
29,I,0.625,0.5,0.15,2.608154,0.69456275,0.510291,0.510291,6
30,M,1.275,0.95,0.3375,16.91047675,7.3425205,3.9405805,4.9611625,9
31,M,1.55,1.2,0.4125,34.699788,17.10892325,7.64019025,8.50485,11
32,F,1.7625,1.3875,0.5125,46.67745175,23.09066775,6.08096775,11.29727575,13
33,I,1.1875,0.9,0.3125,12.813974,5.4147545,2.8066005,3.96893,9
34,F,1.5875,1.2375,0.425,34.6147395,14.78426425,8.68912175,8.221355,13
35,F,1.425,1.15,0.3875,26.308336,11.793392,5.5281525,7.7961125,10
36,F,1.725,1.3125,0.5,47.513762,19.6462035,11.566596,13.324265,16
37,F,1.25,0.975,0.325,18.01610725,7.47009325,4.43669675,5.2446575,8
38,I,0.5125,0.375,0.1375,1.190679,0.4819415,0.15592225,0.18427175,4
39,M,1.125,0.85,0.325,12.94154675,5.953395,2.87747425,3.40194,9
40,M,1.5375,1.3125,0.4125,37.98833,16.44271,9.7805775,10.489315,11
41,M,1.4375,1.125,0.375,24.93338525,9.8372765,5.93922025,7.7961125,18
42,M,1.525,1.2125,0.3875,34.8415355,15.4504775,7.4559185,8.221355,10
43,F,1.6125,1.2875,0.4125,35.62114675,11.453198,6.4353365,11.056305,15
44,M,1.675,1.2875,0.475,39.745999,17.90270925,8.334753,11.056305,10
45,I,1.0375,0.775,0.225,10.95708175,4.2807745,1.77184375,2.6932025,7
46,I,1.125,0.8375,0.25,14.004653,6.066793,2.96252275,3.8271825,7
47,F,1.8875,1.4125,0.5125,57.606184,21.262125,12.48795475,16.44271,17
48,M,1.4375,1.1,0.3625,24.720764,10.0640725,5.40057975,7.1157245,9
49,I,1.175,0.925,0.3125,15.2236815,7.92368525,3.50116325,4.9611625,8
50,I,1.175,0.8875,0.275,12.6722265,5.82582225,2.50893075,3.685435,7
51,M,1.4875,1.2125,0.3875,33.89182725,17.973583,6.577084,8.50485,10
52,I,1.125,0.8375,0.25,11.7083435,5.4147545,2.551455,3.118445,7
53,F,1.6375,1.4625,0.5,60.96559975,27.8675585,10.5176645,12.0485375,11
54,M,1.525,1.2375,0.4,34.77066175,15.30873,7.66853975,9.1568885,11
55,I,1.0375,0.8125,0.2625,10.77281,4.52174525,2.22543575,2.76407625,7
56,I,0.825,0.65,0.1875,5.783298,2.494756,1.644271,1.5592225,6
57,I,0.95,0.7625,0.2375,7.98038425,3.55786225,1.48834875,2.551455,7
58,M,1.725,1.3625,0.4875,50.802304,25.911443,9.36950975,14.5999925,12
59,I,1.3,1,0.3,16.839603,7.66853975,2.9199985,4.7910655,8
60,M,1.575,1.2625,0.425,34.06192425,14.4298955,8.1930055,11.056305,13
61,I,0.6875,0.55,0.175,2.83495,1.1056305,1.020582,0.9922325,3
62,I,1.7,1.375,0.425,51.199197,22.226008,10.70193625,12.8990225,10
63,I,1.45,1.1,0.3,26.54930675,10.21999475,5.8683465,7.597666,10
64,I,1.1875,0.9375,0.3,15.5071765,7.994559,2.67902775,4.3941725,7
65,F,1.2875,1.05,0.325,17.84601025,7.98038425,3.6003865,6.0951425,10
66,I,0.6,0.5125,0.175,2.0695135,0.8788345,0.52446575,0.7087375,4
67,M,1.425,1.125,0.4125,24.4656185,10.33339275,4.5075705,7.087375,11
68,I,1.1375,0.9375,0.3125,17.33571925,9.00096625,3.58621175,4.252425,7
69,M,1.3125,1.0375,0.35,22.75047375,8.15048125,4.32329875,6.9456275,9
70,F,1.225,0.9125,0.35,19.85882475,6.76135575,3.27436725,5.5281525,9
71,I,1.15,0.8625,0.3,11.5949455,4.6776675,2.65067825,3.8271825,9
72,M,1.6875,1.325,0.4875,50.70308075,21.98503725,9.2702865,13.324265,11
73,I,0.925,0.6875,0.25,6.2085405,2.67902775,1.63009625,1.70097,7
74,F,1.55,1.225,0.475,33.8209535,12.0485375,6.39281225,11.90679,15
75,M,1.45,1.1375,0.4125,34.6147395,15.66309875,5.273007,10.20582,9
76,F,1.2,0.95,0.3125,17.0097,6.50621025,3.96893,6.23689,11
77,F,1.4125,1.05,0.3875,24.81998725,8.17883075,5.3580555,8.221355,13
78,F,1.5,1.1875,0.4,34.699788,16.045817,7.49844275,8.9300925,10
79,I,1.2,0.9375,0.3375,16.45688475,7.78193775,3.58621175,4.53592,10
80,I,1.1125,0.8,0.275,11.396499,5.06038575,2.608154,3.81300775,8
81,I,1.0625,0.75,0.25,9.93649975,4.66349275,2.1262125,2.9766975,8
82,I,0.625,0.45,0.15,2.99087225,1.13398,0.63786375,0.56699,5
83,I,1.0625,0.8,0.3125,11.5382465,5.99591925,2.83495,3.685435,7
84,M,1.1875,0.9125,0.3125,15.989118,8.60407325,2.70737725,4.0539785,7
85,M,1.2875,1.0375,0.325,21.659018,7.824462,5.556502,7.087375,13
86,M,1.5125,1.1875,0.4,29.15746075,12.417081,6.22271525,8.3631025,11
87,I,0.9875,0.7125,0.25,3.6003865,3.005047,2.0128145,2.4097075,7
88,I,0.95,0.725,0.25,6.30776375,2.721552,1.8427175,2.4097075,7
89,M,1.5,1.2375,0.4375,29.540179,9.34116025,6.59125875,8.23552975,15
90,M,1.3875,1.1125,0.4,24.87668625,11.3114505,6.08096775,6.23689,9
91,I,1.1125,0.8,0.275,11.5949455,5.6415505,2.87747425,2.83495,8
92,M,1.125,0.875,0.25,10.9145575,4.80524025,2.26796,3.40194,7
93,I,0.925,0.6875,0.25,7.98038425,3.92640575,1.63009625,2.26796,7
94,M,1.425,1.1375,0.375,28.122704,12.0485375,6.066793,7.2291225,10
95,M,1.65,1.275,0.4375,42.82191975,17.95940825,8.8166945,11.90679,18
96,M,1.675,1.325,0.4375,42.2124055,16.726205,8.3064035,10.77281,11
97,M,1.2625,0.95,0.3,16.31513725,6.90310325,3.798833,5.953395,9
98,F,1.275,1.0125,0.3,18.10115575,8.34892775,3.72795925,5.5281525,9
99,I,1.2125,0.9125,0.35,12.8990225,5.06038575,3.18931875,3.96893,10
100,F,1.8,1.4125,0.475,55.961913,18.63979625,12.68640125,23.1048425,14
101,I,0.9125,0.675,0.2125,5.88252125,2.778251,1.06310625,1.757669,6
102,F,1.6125,1.2375,0.4125,39.7743485,16.3009625,8.15048125,10.489315,13
103,M,1.325,1.05,0.35,19.1926115,7.27164675,4.01145425,5.953395,11
104,F,1.3,0.9375,0.3125,18.7957185,8.51902475,3.7137845,5.40057975,9
105,I,0.875,0.65,0.225,5.10291,2.59397925,1.5592225,1.70097,5
106,M,1.4375,1.0875,0.3625,26.818627,11.4248485,6.67630725,7.7961125,9
107,F,1.5125,1.225,0.45,34.8415355,15.35125425,7.47009325,8.7599955,12
108,I,0.8,0.6125,0.2125,4.819415,1.85689225,1.3324265,1.3891255,6
109,M,1.725,1.3375,0.5,46.67745175,22.80717275,10.56018875,12.3320325,11
110,M,1.3125,1.025,0.35,18.46969925,7.69688925,4.63514325,5.2446575,9
111,M,1.4375,1.125,0.4125,29.15746075,12.0485375,6.180191,7.37087,11
112,F,1.625,1.2375,0.425,39.02308675,16.4710595,8.8166945,11.4815475,11
113,I,1.0125,0.775,0.275,10.716111,4.77689075,2.324659,2.9766975,7
114,I,0.775,0.5625,0.1875,3.24601775,1.5025235,0.8788345,1.13398,7
115,M,1.6125,1.2125,0.4,35.6920205,16.51358375,6.64795775,9.4970825,19
116,M,1.4,1.1,0.35,23.7285315,11.736693,4.40834725,6.6621325,9
117,M,1.5375,1.15,0.4375,30.43318825,11.07047975,6.56290925,10.3475675,12
118,F,1.6125,1.275,0.4375,41.4186195,16.0174675,9.22776225,12.643877,13
119,I,1.1875,0.875,0.3125,13.664459,5.8683465,3.30271675,4.1106775,9
120,I,1.3625,1,0.3375,21.9708625,11.8784405,5.2446575,5.953395,7
121,M,1.5625,1.25,0.4125,31.51046925,14.628342,7.314171,8.9300925,11
122,M,1.625,1.2625,0.475,39.70347475,14.72756525,10.20582,12.47378,11
123,M,1.45,1.1375,0.375,28.76056775,10.4609655,4.649318,8.50485,13
124,F,1.675,1.275,0.45,39.02308675,17.973583,8.4765005,11.0846545,9
125,I,0.9,0.6625,0.2125,6.30776375,2.56562975,1.31825175,1.984465,6
126,F,1.425,1.2375,0.3875,33.38153625,13.777857,5.8116475,8.3631025,23
127,M,1.775,1.325,0.425,43.02036625,19.6462035,10.56018875,12.303683,11
128,I,0.525,0.375,0.1375,1.190679,0.5386405,0.29766975,0.3685435,7
129,F,1.35,1.0625,0.325,18.24290325,7.257472,4.89028875,5.10291,9
130,M,1.375,1.0375,0.375,24.323871,8.60407325,6.747181,8.391452,10
131,I,0.6375,0.4625,0.1375,2.2963095,0.94970825,0.52446575,0.56699,3
132,M,1.6125,1.3125,0.475,37.42134,15.03940975,8.4198015,11.623295,19
133,F,1.3125,1.0625,0.3125,22.8213475,9.865626,4.989512,7.087375,11
134,M,1.675,1.35,0.4375,42.807745,23.2182405,8.63242275,11.7650425,11
135,I,1.175,0.925,0.3125,13.267566,6.13766675,3.01922175,3.9405805,8
136,M,1.575,1.1875,0.45,32.10580875,15.15280775,6.25106475,8.788345,10
137,F,1.6125,1.225,0.4375,34.68561325,15.03940975,8.391452,8.9300925,9
138,F,1.55,1.15,0.35,32.13415825,16.68368075,7.41339425,8.221355,12
139,M,1.2375,1.05,0.3375,17.84601025,7.4559185,4.03980375,6.0951425,12
140,M,1.2,0.9875,0.35,18.01610725,8.32057825,3.61456125,5.6699,8
141,M,1.85,1.4375,0.4625,62.3972495,30.09299425,14.84096325,14.9827108,13
142,I,1.1625,0.8625,0.35,11.8217415,5.556502,2.83495,4.252425,9
143,I,1.2125,0.925,0.3,15.35125425,7.01650125,2.90582375,3.8271825,8
144,I,1.2125,0.875,0.3,13.31009025,6.066793,2.8066005,3.685435,7
145,I,0.7875,0.575,0.225,3.64291075,1.2190285,0.793786,1.13398,5
146,F,1.575,1.2375,0.3875,32.78619675,13.90542975,7.6827145,10.0640725,14
147,F,1.5125,1.175,0.4,29.8520235,13.891255,6.76135575,7.654365,10
148,F,1.675,1.275,0.5125,43.09124,19.06503875,11.0846545,9.4970825,8
149,M,1.5625,1.175,0.3875,34.529691,14.8834875,9.56795625,8.6465975,8
150,F,1.525,1.1625,0.375,29.937072,12.2186345,6.123492,7.824462,13
151,M,1.3125,1,0.3,16.42853525,7.597666,3.3168915,4.3941725,8
152,F,1.5375,1.2,0.4,34.6147395,17.519991,7.10154975,8.50485,10
153,F,1.4875,1.1625,0.3875,22.55202725,9.70970375,5.08873525,6.87475375,10
154,F,1.525,1.2,0.4,28.36367475,13.947954,7.030676,7.087375,10
155,M,1.5,1.1375,0.375,28.87396575,13.87708025,7.8528115,8.221355,10
156,M,1.4,1.1,0.35,27.5273645,12.5588285,5.79747275,7.5126175,10
157,M,1.425,1.1,0.3875,24.62154075,10.41844125,4.422522,6.0951425,11
158,F,1.15,0.875,0.2875,12.99824575,4.6776675,3.118445,3.5436875,10
159,F,1.425,1.075,0.4125,20.3265915,8.1930055,4.94698775,5.5281525,9
160,I,1.375,1.1,0.325,23.88445375,10.432616,5.93922025,7.5126175,9
161,M,1.5,1.1125,0.2875,24.76328825,12.51630425,5.93922025,5.783298,8
162,I,1.1,0.8,0.275,12.6722265,5.8116475,2.53728025,3.5436875,7
163,F,1.5875,1.225,0.425,36.61337925,13.5794105,7.144074,12.757275,12
164,I,1.1875,0.9125,0.3125,13.53688625,6.73300625,3.118445,3.96893,8
165,I,1.425,1.125,0.375,22.12678475,11.4248485,4.819415,7.2291225,8
166,M,1.3375,1.125,0.3875,24.777463,10.6877615,5.4147545,9.00096625,10
167,I,0.9,0.6625,0.225,5.28718175,1.74349425,1.0489315,1.8427175,5
168,I,1.3375,1.0375,0.3125,19.40523275,10.319218,4.40834725,5.953395,8
169,I,0.875,0.6125,0.225,5.8116475,2.2963095,1.190679,1.71514475,6
170,M,1.6875,1.3,0.475,42.2124055,17.57669,10.30504325,11.056305,11
171,F,1.725,1.4125,0.5125,51.55356575,22.6512505,11.07047975,14.01882775,10
172,M,1.475,1.1625,0.3875,25.7129965,12.74310025,5.499803,7.767763,9
173,F,1.5625,1.2375,0.3875,27.612413,13.13999325,7.5126175,7.087375,11
174,I,1.15,0.925,0.3,13.08329425,6.0951425,2.73572675,3.685435,8
175,M,1.175,0.875,0.3,13.53688625,5.8683465,2.9199985,3.8271825,9
176,M,1.4875,1.1875,0.375,26.2799865,12.0485375,5.273007,7.7961125,11
177,I,1.225,0.9625,0.2875,19.3627085,9.25611175,4.57844425,4.6776675,10
178,I,0.9875,0.75,0.225,7.1157245,3.01922175,1.68679525,2.1262125,7
179,M,1.35,1.1125,0.3125,23.700182,9.525432,4.60679375,6.9456275,13
180,M,1.4,1.075,0.3125,22.9914445,10.98543125,4.5075705,6.47786075,11
181,M,1.4375,1.125,0.375,24.720764,10.149121,6.95980225,6.520385,12
182,I,0.925,0.6875,0.2375,6.76135575,2.83495,1.63009625,1.984465,6
183,M,0.8375,0.6375,0.2,5.3580555,1.99863975,1.3324265,1.5592225,7
184,M,1.4375,1.1375,0.35,26.3366855,11.55242125,5.14543425,7.087375,11
185,M,1.55,1.1875,0.3875,32.31843,13.59358525,7.47009325,8.3631025,9
186,I,0.875,0.6375,0.225,5.5848515,2.2396105,1.190679,1.70097,7
187,I,0.875,0.625,0.1625,4.03980375,1.91359125,0.9355335,1.23320325,5
188,F,1.5375,1.1875,0.425,31.59551775,13.11164375,9.00096625,8.06543275,10
189,M,1.525,1.1375,0.3875,30.51823675,14.401546,4.80524025,9.63883,11
190,F,1.4625,1.125,0.3625,26.52095725,11.43902325,6.44951125,7.3425205,10
191,I,1.3,0.9375,0.35,17.0380495,7.44174375,3.64291075,4.252425,9
192,F,1.4,1.1,0.4125,30.0221205,9.87980075,7.767763,8.7599955,16
193,M,1.6125,1.2875,0.45,35.210079,13.891255,8.34892775,10.07824725,10
194,I,1.1875,0.9125,0.2875,13.5794105,5.4147545,3.01922175,3.75630875,6
195,F,1.7375,1.425,0.5125,50.745605,23.2182405,11.0279555,12.85649825,11
196,F,1.525,1.175,0.425,32.72949775,16.62698175,6.56290925,8.1363065,11
197,M,1.225,0.95,0.325,16.102516,7.0590255,4.649318,4.252425,7
198,F,1.525,1.2375,0.5,30.5891105,10.149121,5.783298,11.056305,21
199,F,1.8,1.4375,0.475,54.0624965,24.8058125,11.226402,11.90679,12
200,M,1.5375,1.275,0.3875,36.740952,17.293195,9.39785925,9.07184,11
201,F,1.425,1.125,0.4125,31.22697425,13.08329425,6.22271525,7.93786,10
202,M,1.6,1.275,0.475,41.31939625,16.31513725,7.78193775,11.90679,12
203,M,1.5875,1.2875,0.4875,38.00250475,16.20173925,8.278054,10.0640725,11
204,I,1.3375,1.05,0.35,23.79940525,11.8784405,5.1879585,6.23689,9
205,F,0.6875,0.4625,0.125,1.99863975,0.6520385,0.510291,0.56699,9
206,M,1.6125,1.225,0.4,33.38153625,13.99047825,7.824462,8.9300925,11
207,I,0.9625,0.6875,0.2125,7.2858215,2.7499015,1.51669825,1.984465,6
208,I,1.25,0.9625,0.3,18.9658155,9.8372765,3.742134,4.762716,8
209,I,1.1875,0.875,0.2625,14.118051,6.73300625,2.8066005,3.96893,7
210,M,1.7375,1.2875,0.45,41.91473575,18.9091165,9.468733,11.056305,10
211,I,0.4875,0.35,0.125,0.907184,0.340194,0.226796,0.283495,7
212,M,1.4,1.1125,0.3875,27.499015,9.19941275,5.1879585,8.17883075,12
213,M,1.5,1.175,0.375,27.669112,13.834556,5.5848515,7.93786,11
214,I,1.5125,1.225,0.4125,35.19590425,13.7495075,7.35669525,10.3475675,14
215,I,1.1625,0.9,0.275,11.5949455,4.989512,2.4097075,3.8271825,7
216,I,1.125,0.825,0.3,10.3475675,3.96893,2.33883375,3.52951275,7
217,F,1.3625,1.0375,0.3,20.25571775,8.561549,4.86193925,6.36446275,10
218,M,0.875,0.6625,0.225,5.556502,2.211261,1.65844575,1.70097,6
219,F,1.4125,1.1,0.375,25.3728025,10.2908685,5.40057975,7.7961125,9
220,I,1.4375,1.125,0.3125,22.11261,9.28446125,4.5075705,6.6621325,9
221,M,1.1875,0.975,0.3125,17.08057375,8.12213175,3.64291075,4.12485225,8
222,I,0.475,0.35,0.1375,0.89300925,0.35436875,0.18427175,0.29766975,4
223,F,1.3875,1.075,0.375,24.67823975,8.91591775,5.99591925,7.2291225,10
224,M,1.5375,1.1875,0.375,27.54153925,13.93377925,6.98815175,8.9300925,10
225,M,1.6,1.3125,0.425,38.6403685,19.43358225,7.824462,10.0640725,12
226,M,1.6375,1.375,0.4875,48.94541175,19.03668925,10.33339275,12.85649825,9
227,F,1.6125,1.275,0.4,37.137845,13.67863375,8.561549,10.20582,13
228,I,1.25,0.9375,0.3375,17.7184375,7.78193775,3.6570855,5.386405,9
229,I,0.9875,0.6875,0.2375,8.17883075,2.96252275,1.80019325,2.551455,7
230,M,1.325,0.95,0.325,16.839603,7.10154975,3.9405805,4.819415,9
231,M,1.4125,1.1,0.3875,29.7386255,11.679994,6.5487345,8.0796075,13
232,F,1.5625,1.25,0.4375,37.37881575,15.5071765,8.29222875,10.1207715,11
233,I,1.125,0.8375,0.25,12.51630425,5.499803,2.7499015,3.8271825,8
234,I,1.175,0.9,0.3125,13.267566,5.71242425,2.8066005,3.685435,7
235,F,1.25,0.975,0.3125,14.7133905,7.04485075,3.21766825,3.798833,9
236,I,0.425,0.3,0.15,0.680388,0.2551455,0.1417475,0.2551455,5
237,I,1.0625,0.8125,0.25,10.41844125,4.46504625,1.91359125,2.9766975,8
238,F,1.55,1.2625,0.5125,31.34037225,12.60135275,6.4353365,11.056305,13
239,F,1.125,0.925,0.3125,15.762322,6.90310325,3.89805625,5.5281525,12
240,M,1.4375,1.0875,0.3375,28.122704,12.246984,6.30776375,6.7755305,9
241,I,0.7125,0.525,0.1875,3.67126025,1.17650425,0.52446575,0.9922325,6
242,I,1.025,0.775,0.225,8.5331995,3.515338,1.88524175,2.551455,7
243,M,1.1,0.875,0.325,12.303683,5.2446575,3.10427025,3.685435,10
244,M,1.5875,1.275,0.5375,36.32988425,17.57669,7.3992195,14.98271075,8
245,F,1.775,1.425,0.4875,56.14618475,29.10076175,13.96212875,13.60776,12
246,F,1.8125,1.45,0.5,50.2636635,23.926978,11.60912025,14.0330025,16
247,M,1.4125,1.125,0.35,24.73493875,10.8011595,5.20213325,7.7961125,10
248,I,0.925,0.7,0.2,6.0384435,2.2963095,0.963883,1.984465,7
249,I,0.9375,0.7375,0.225,7.2858215,2.721552,1.63009625,2.4097075,6
250,I,0.925,0.7,0.2375,7.144074,3.01922175,1.68679525,1.984465,6
251,M,1.15,0.875,0.2625,11.1413535,4.46504625,2.551455,3.5436875,10
252,I,0.7125,0.525,0.175,3.01922175,1.37495075,0.77961125,0.850485,5
253,I,0.775,0.6625,0.2125,5.556502,2.19708625,0.86465975,1.26155275,6
254,I,1.2625,0.9625,0.3125,17.19397175,8.0796075,3.98310475,4.7910655,8
255,I,1.075,0.875,0.25,9.93649975,4.63514325,2.45223175,2.9766975,7
256,M,1.55,1.25,0.45,41.97143475,17.61921425,8.4765005,12.48795475,17
257,I,0.825,0.6125,0.1875,4.80524025,1.34660125,0.89300925,1.2757275,8
258,I,0.85,0.65,0.2125,5.71242425,2.211261,1.13398,1.5592225,5
259,M,1.55,1.175,0.4125,26.2799865,9.11436425,5.62737575,8.9300925,8
260,F,1.275,0.9375,0.35,16.839603,6.917278,3.18931875,4.7343665,9
261,M,1.5625,1.2375,0.4375,36.61337925,13.53688625,8.29222875,11.056305,16
262,M,1.4125,1.125,0.3875,24.607366,10.4609655,6.05261825,6.80388,10
263,M,1.4875,1.125,0.4125,23.43086175,9.76640275,4.5075705,7.6827145,10
264,M,1.6125,1.25,0.45,43.2896865,19.731252,8.221355,11.3398,9
265,M,1.1625,0.875,0.325,15.87572,6.73300625,3.01922175,4.9611625,7
266,M,1.575,1.2,0.375,36.0322145,18.72484475,6.87475375,5.6699,10
267,I,1.125,0.8375,0.2875,12.37455675,5.37223025,2.67902775,3.2601925,9
268,F,1.6375,1.3,0.45,42.921143,14.44407025,8.901743,11.90679,18
269,I,0.7,0.525,0.2,3.005047,1.020582,0.86465975,0.850485,3
270,M,1.475,1.175,0.3625,27.499015,12.23280925,6.59125875,7.2291225,12
271,I,0.9625,0.775,0.2,7.78193775,3.41611475,1.247378,2.6365035,7
272,M,1.55,1.2,0.4125,32.1199835,12.927372,7.0023265,8.50485,11
273,I,1.1875,0.9375,0.275,16.42853525,7.7961125,3.118445,3.8271825,8
274,I,0.975,0.7,0.2375,7.55514175,3.35941575,1.7293195,2.26796,7
275,M,1.5125,1.2125,0.4375,32.16250775,12.68640125,7.98038425,10.77281,12
276,F,1.4375,1.125,0.375,22.5378525,10.6877615,4.9044635,6.3786375,11
277,M,1.6125,1.2125,0.425,33.40988575,12.1619355,7.597666,10.0640725,10
278,M,1.8,1.3625,0.45,47.7689075,25.7696955,9.22776225,13.60776,11
279,M,1.4375,1.125,0.325,24.73493875,11.60912025,5.159609,6.690482,8
280,F,1.5,1.2375,0.4125,32.0065855,14.514944,7.427569,8.788345,11
281,M,1.5125,1.175,0.375,29.1149365,12.40290625,7.824462,8.3631025,9
282,M,1.675,1.3125,0.425,38.51279575,17.19397175,8.4198015,11.056305,10
283,I,0.6375,0.5125,0.175,2.608154,1.2757275,0.60951425,0.7654365,6
284,F,1.5375,1.1875,0.4125,31.70891575,13.2959155,7.3425205,9.4970825,10
285,I,1.125,0.825,0.2625,13.154168,5.556502,3.345241,3.742134,8
286,F,1.5125,1.175,0.4,33.38153625,17.3215445,6.44951125,8.278054,11
287,F,1.8,1.425,0.4875,51.55356575,23.6151335,11.60912025,13.60776,10
288,I,1.3,1,0.325,17.293195,7.8528115,4.09650275,5.10291,8
289,I,1.1375,0.9375,0.325,16.91047675,7.72523875,3.72795925,4.1106775,9
290,M,1.375,1.05,0.3875,21.13455225,7.75358825,4.082328,6.9456275,10
291,M,1.5625,1.175,0.4125,34.1611475,16.96717575,6.13766675,8.7599955,10
292,F,1.575,1.2625,0.4375,36.0889135,13.53688625,8.60407325,10.489315,14
293,I,0.975,0.725,0.2625,6.30776375,3.4869885,1.31825175,2.1262125,8
294,I,0.9625,0.75,0.2625,7.55514175,3.55786225,1.7293195,2.4097075,7
295,F,1.475,1.1875,0.425,27.499015,12.8423235,6.0951425,7.7961125,10
296,M,1.5625,1.25,0.4125,31.127751,13.87708025,7.711064,8.788345,10
297,M,1.2,0.95,0.3,14.67086625,7.9095105,2.73572675,4.53592,12
298,F,1.4,1.05,0.35,19.901349,8.85921875,4.7343665,5.386405,9
299,F,1.3875,1.075,0.375,24.6357155,10.19164525,4.252425,7.8528115,10
300,F,1.6,1.3125,0.5375,50.4337605,15.592225,8.09378225,12.190285,9
301,M,1.0625,0.8625,0.2375,11.1413535,4.6776675,1.7860185,3.5436875,8
302,I,1,0.7625,0.2375,8.901743,3.92640575,1.6159215,2.83495,7
303,F,1.3,1.0125,0.3125,15.5071765,5.6699,3.01922175,4.819415,12
304,F,1.6125,1.25,0.4125,46.45065575,16.96717575,9.99319875,10.0640725,15
305,M,1.425,1.15,0.425,26.3366855,10.77281,5.896696,7.2291225,10
306,M,1.5375,1.1875,0.375,31.56716825,14.72756525,7.29999625,8.0796075,12
307,I,1.425,1.0875,0.3875,22.8213475,10.61688775,4.932813,6.6621325,10
308,I,0.725,0.5625,0.175,4.309124,1.68679525,1.020582,1.2757275,4
309,F,1.8125,1.4375,0.475,42.807745,24.76328825,12.09106175,14.41572075,11
310,M,1.5625,1.2375,0.475,37.35046625,11.566596,8.561549,10.0640725,19
311,F,1.625,1.25,0.4125,35.0116325,16.8112535,5.9250455,10.3475675,9
312,I,1.175,0.9125,0.3125,13.777857,5.4147545,3.5436875,4.1106775,7
313,M,1.7125,1.375,0.4875,43.98424925,18.83824275,10.19164525,12.0485375,10
314,I,1.35,1.05,0.375,19.4761065,8.32057825,4.479221,6.80388,9
315,F,1.625,1.3,0.475,38.55532,17.70426275,9.241937,10.0640725,12
316,F,1.5,1.1875,0.4375,35.50774875,17.349894,7.35669525,9.355335,13
317,I,0.475,0.35,0.1,1.304077,0.46776675,0.18427175,0.396893,4
318,I,1.3,0.9875,0.2625,16.03164225,6.76135575,3.04757125,4.819415,6
319,F,1.5125,1.125,0.4875,28.44872325,11.509897,7.10154975,8.0796075,12
320,M,1.375,1.0625,0.3125,21.885814,9.2702865,4.7910655,6.80388,8
321,F,1.5625,1.2,0.425,32.31843,12.00601325,8.54737425,8.9300925,11
322,M,0.85,0.6625,0.2125,4.6209685,2.22543575,1.0489315,1.70097,9
323,I,0.875,0.6375,0.1875,4.819415,2.154562,0.86465975,1.417475,7
324,I,0.6375,0.4875,0.1625,2.26796,0.89300925,0.52446575,0.7654365,5
325,M,1.6125,1.2875,0.375,33.72173025,13.70698325,8.43397625,9.922325,10
326,F,1.5625,1.2875,0.4125,36.47163175,16.4710595,8.3064035,9.19941275,9
327,F,1.6,1.3125,0.5,42.2124055,14.628342,7.86698625,13.324265,17
328,M,1.2875,0.9875,0.3375,20.87940675,9.298636,4.06815325,4.819415,9
